arch,task,model,metric,sampleseed,mean,std,n,t_statistic,p_value,significant,ablation
protxlstm,proeng_thermo_mixed_split_mean,protxlstm_102M_60B,test_performance_1,sampling_seed-12345,0.9849645612861508,0.0003247680889597811,5,-45.1430055000681,7.200124033956856e-07,True,rand
protxlstm,proeng_thermo_mixed_split_mean,protxlstm_102M_60B,test_performance_1,sampling_seed-42,0.9849295349200888,0.0003054288525612542,5,-46.09529077371011,6.624202657554587e-07,True,rand
protxlstm,structure_secondary_structure_tape_ss3_processed_casp12_noflatten,protxlstm_102M_60B,test_performance_1,sampling_seed-0,0.6572729730258825,0.0031438433937410653,5,-126.60507731000553,1.1671754787019427e-08,True,rand
protxlstm,structure_secondary_structure_tape_ss3_processed_casp12_noflatten,protxlstm_102M_60B,test_performance_1,sampling_seed-12345,0.6572169387099127,0.0029949776320389453,5,-132.5824467454369,9.705377770975952e-09,True,rand
protxlstm,structure_secondary_structure_tape_ss3_processed_casp12_noflatten,protxlstm_102M_60B,test_performance_1,sampling_seed-42,0.6571561169712403,0.003130221456835899,5,-124.7478980955528,1.2382327361413636e-08,True,rand
protxlstm,structure_secondary_structure_tape_ss3_processed_casp12_noflatten,protxlstm_26M_30B,test_performance_1,sampling_seed-0,0.641364122136376,0.010908082196550333,2,-20.132615880229597,0.015797673771092792,True,rand
protxlstm,structure_secondary_structure_tape_ss3_processed_casp12_noflatten,protxlstm_26M_30B,test_performance_1,sampling_seed-12345,0.6414349986587919,0.010486345286885287,2,-20.968291661901393,0.01516904165824239,True,rand
protxlstm,structure_secondary_structure_tape_ss3_processed_casp12_noflatten,protxlstm_26M_30B,test_performance_1,sampling_seed-42,0.6426920046583025,0.007970865287467823,3,-33.31813050745013,0.00044980306004635285,True,rand
protxlstm,structure_secondary_structure_tape_ss3_processed_cb513_noflatten,protxlstm_102M_60B,test_performance_1,sampling_seed-0,0.6623611282493927,0.0026166448640580577,5,-185.70701001691864,2.5218782473437095e-09,True,rand
protxlstm,structure_secondary_structure_tape_ss3_processed_cb513_noflatten,protxlstm_102M_60B,test_performance_1,sampling_seed-12345,0.6624676904890496,0.0026646254886265363,5,-181.6254638865613,2.7563003802310213e-09,True,rand
protxlstm,structure_secondary_structure_tape_ss3_processed_cb513_noflatten,protxlstm_102M_60B,test_performance_1,sampling_seed-42,0.6624639291795196,0.0026611882010611925,5,-182.51470663643266,2.702980330659792e-09,True,rand
protxlstm,structure_secondary_structure_tape_ss3_processed_cb513_noflatten,protxlstm_26M_30B,test_performance_1,sampling_seed-0,0.6432505083693804,0.0007587470818803355,2,-367.9386653694106,0.0008651145758678259,True,rand
protxlstm,structure_secondary_structure_tape_ss3_processed_cb513_noflatten,protxlstm_26M_30B,test_performance_1,sampling_seed-12345,0.6430659114089617,0.0007908408393597655,2,-352.75412822153544,0.0009023538154336622,True,rand
protxlstm,structure_secondary_structure_tape_ss3_processed_cb513_noflatten,protxlstm_26M_30B,test_performance_1,sampling_seed-42,0.6419271506408091,0.0021390963171309236,3,-160.8425120492804,1.9326051367182657e-05,True,rand
protxlstm,structure_secondary_structure_tape_ss3_processed_ts115_noflatten,protxlstm_102M_60B,test_performance_1,sampling_seed-0,0.6678277292606445,0.00346702071278472,5,-142.11914902426662,7.351357243864937e-09,True,rand
protxlstm,structure_secondary_structure_tape_ss3_processed_ts115_noflatten,protxlstm_102M_60B,test_performance_1,sampling_seed-12345,0.6678836863205634,0.0034727884433063214,5,-142.04442158702375,7.366836651784813e-09,True,rand
protxlstm,structure_secondary_structure_tape_ss3_processed_ts115_noflatten,protxlstm_102M_60B,test_performance_1,sampling_seed-42,0.667904242280084,0.0034711069163929327,5,-142.04512162552314,7.3666914534341346e-09,True,rand
protxlstm,structure_secondary_structure_tape_ss3_processed_ts115_noflatten,protxlstm_26M_30B,test_performance_1,sampling_seed-0,0.6468010275698713,0.0014666536854673635,2,-193.90309186536666,0.0016415780746511935,True,rand
protxlstm,structure_secondary_structure_tape_ss3_processed_ts115_noflatten,protxlstm_26M_30B,test_performance_1,sampling_seed-12345,0.6466923438569626,0.0017020459714168121,2,-166.5900624552776,0.0019107145909112266,True,rand
protxlstm,structure_secondary_structure_tape_ss3_processed_ts115_noflatten,protxlstm_26M_30B,test_performance_1,sampling_seed-42,0.6455386796299197,0.0022981687889523177,3,-152.37173130542274,2.1534418178894074e-05,True,rand
poet,annotation_scl_balanced_mean,poet_201M,test_performance_1,sampling_seed-42,0.7737532363970941,0.005934732209564744,5,-25.749930207040666,6.755586002029617e-06,True,stat
poet,evolution_remote_homology_tape_rh_processed_test-family-holdout_mean,poet_201M,test_performance_1,sampling_seed-42,0.0,0.0,5,,,,stat
poet,evolution_remote_homology_tape_rh_processed_test-fold-holdout_mean,poet_201M,test_performance_1,sampling_seed-42,0.0,0.0,5,,,,stat
poet,evolution_remote_homology_tape_rh_processed_test-superfamily-holdout_mean,poet_201M,test_performance_1,sampling_seed-42,0.002073365231259968,0.00043678034888769223,5,-1.6329931618554525,0.08890390417811055,False,stat
poet,proeng_aav_low_vs_high_mean,poet_201M,test_performance_1,sampling_seed-42,0.9268900090153475,0.0007034225326326117,5,-66.18647983783448,1.5609301925569096e-07,True,stat
poet,proeng_aav_one_vs_many_mean,poet_201M,test_performance_1,sampling_seed-42,0.9660724079875169,0.004318455373183985,5,-6.542955756393131,0.0014100978090144868,True,stat
poet,proeng_aav_two_vs_many_mean,poet_201M,test_performance_1,sampling_seed-42,0.9650596074708455,0.0042906150533508726,5,-6.077780746336647,0.0018516618173600983,True,stat
poet,proeng_gb1_low_vs_high_mean,poet_201M,test_performance_1,sampling_seed-42,0.9255413192239285,0.004147412173068178,5,-5.29998372534836,0.00304362028119262,True,stat
poet,proeng_gb1_one_vs_rest_mean,poet_201M,test_performance_1,sampling_seed-42,0.8513616386884648,0.0007572831980754512,5,-113.3991585412138,1.8132463406596258e-08,True,stat
poet,proeng_gb1_two_vs_rest_mean,poet_201M,test_performance_1,sampling_seed-42,0.8653475828296004,0.012838546185393073,5,2.5881601661101286,0.9695991371770049,False,stat
poet,proeng_thermo_mixed_split_mean,poet_201M,test_performance_1,sampling_seed-42,0.9887500675316842,0.00016097571888952684,5,-56.15600721224835,3.0103625686710495e-07,True,stat
poet,structure_secondary_structure_tape_ss3_processed_casp12_noflatten,poet_201M,test_performance_1,sampling_seed-42,0.7203954474096849,0.003499831174587434,5,-122.36320976087252,1.337594474250122e-08,True,stat
poet,structure_secondary_structure_tape_ss3_processed_cb513_noflatten,poet_201M,test_performance_1,sampling_seed-42,0.6912903073833869,0.0008782787645831752,5,-637.8883471414729,1.8119051730597792e-11,True,stat
poet,structure_secondary_structure_tape_ss3_processed_ts115_noflatten,poet_201M,test_performance_1,sampling_seed-42,0.7314888347820435,0.0019404138669401373,5,-249.37173557042206,7.756857017579419e-10,True,stat
protmamba,annotation_scl_balanced_mean,protmamba_107M_195B,test_performance_1,sampling_seed-0,0.5004476507179769,0.020787670050779684,5,-29.482876110348922,3.940200758943331e-06,True,stat
protmamba,annotation_scl_balanced_mean,protmamba_107M_195B,test_performance_1,sampling_seed-12345,0.5143205479933012,0.018784733809305256,5,-28.576119462568748,4.462425360365036e-06,True,stat
protmamba,annotation_scl_balanced_mean,protmamba_107M_195B,test_performance_1,sampling_seed-42,0.5123458226011083,0.0322708800521423,5,-18.217936787932736,2.6696289147589545e-05,True,stat
protmamba,evolution_remote_homology_tape_rh_processed_test-family-holdout_mean,protmamba_107M_195B,test_performance_1,sampling_seed-0,0.0023584905660377358,0.001111803115073188,5,-15.811388300841895,4.674637319997229e-05,True,stat
protmamba,evolution_remote_homology_tape_rh_processed_test-family-holdout_mean,protmamba_107M_195B,test_performance_1,sampling_seed-12345,0.0028301886792452833,0.0018098843448461222,5,-7.187515381443756,0.0009925239856367338,True,stat
protmamba,evolution_remote_homology_tape_rh_processed_test-family-holdout_mean,protmamba_107M_195B,test_performance_1,sampling_seed-42,0.0033018867924528303,0.0012917984846819953,5,-9.253627917180896,0.00037913662148122463,True,stat
protmamba,evolution_remote_homology_tape_rh_processed_test-fold-holdout_mean,protmamba_107M_195B,test_performance_1,sampling_seed-0,0.004456824512534819,0.0018159338176051945,5,3.772968873135195,0.9902228936398477,False,stat
protmamba,evolution_remote_homology_tape_rh_processed_test-fold-holdout_mean,protmamba_107M_195B,test_performance_1,sampling_seed-12345,0.005013927576601671,0.0015879880572411392,5,5.099019513592785,0.9965063126673401,False,stat
