arch,task,model,ablation,ptp,max_seq_num,embseed,sampleseed,metric,value
protxlstm,annotation_scl_balanced_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-0,test_performance_1,"[0.6973923671839651, 0.7758460870258477, 0.7796328640763301, 0.7887906296987819, 0.7898658200669604, 0.781074418767643, 0.7736625981777392, 0.7703901686907513, 0.7705509457844009, 0.772399213419922, 0.7623986758249033, 0.761738037199094, 0.757384689071795, 0.7726115229920916, 0.7701566640753983, 0.7835624197744049, 0.7764439895706176]"
protxlstm,annotation_scl_balanced_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-12345,train_loss,"[1.4993418768832558, 1.1266106037717116, 1.0991537508211637, 1.0768070754251982, 1.0798651607413041, 1.0940611691851365, 1.0869527851280414, 1.0769382464258295, 1.098922040901686, 1.0984676699889333, 1.1292579346581508, 1.1271067951854907, 1.1366918212489079, 1.0734176635742188, 1.07163731204836, 1.0404711397070634, 1.1441351394904287]"
protxlstm,annotation_scl_balanced_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-12345,val_loss,"[1.5372841017586845, 1.1396796022142683, 1.1030203444617135, 1.0938748972756522, 1.1117369021688188, 1.1284830740519933, 1.1210452999387468, 1.104188757283347, 1.1145662324769157, 1.1214060357638769, 1.1489378469330924, 1.147626280784607, 1.1662503310612269, 1.1066086803163802, 1.104105864252363, 1.0730754137039185, 1.1387172426496233]"
protxlstm,annotation_scl_balanced_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-12345,test_loss,"[2.0629849433898926, 1.7644110321998596, 1.7173038721084595, 1.6852315068244934, 1.7095603346824646, 1.7200362086296082, 1.7554931044578552, 1.8194130659103394, 1.8173774480819702, 1.800343930721283, 1.7968665957450867, 1.7918800115585327, 1.7982859015464783, 1.763598084449768, 1.7707540392875671, 1.738591194152832, 1.7778129577636719]"
protxlstm,annotation_scl_balanced_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-12345,test_performance_2,"[0.35584415584415585, 0.44415584415584414, 0.45454545454545453, 0.4623376623376623, 0.4597402597402597, 0.43896103896103894, 0.45714285714285713, 0.42337662337662335, 0.43636363636363634, 0.44675324675324674, 0.43896103896103894, 0.42857142857142855, 0.4155844155844156, 0.43376623376623374, 0.42857142857142855, 0.44675324675324674, 0.44155844155844154]"
protxlstm,annotation_scl_balanced_mean,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-12345,test_performance_1,"[0.6973923671839651, 0.7756150328553045, 0.7791776156225676, 0.7885500034156886, 0.788460895065697, 0.7815297860752287, 0.7742049000954684, 0.7715366210878258, 0.7716072481924648, 0.773804145484662, 0.7633126917139466, 0.7637012176463793, 0.7585806678136704, 0.7740602795504878, 0.7704763879615715, 0.782593925363636, 0.7740261565539658]"
protxlstm,structure_secondary_structure_tape_ss3_processed_noflatten,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-42,train_loss,"[1.008433903733345, 0.9171012354223695, 0.8883808753261827, 0.8475069117872682, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7342924826765713]"
protxlstm,structure_secondary_structure_tape_ss3_processed_noflatten,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-42,val_loss,"[1.005085333397514, 0.9141450587071871, 0.8854805827140808, 0.8437578709501969, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7268676255878649]"
protxlstm,structure_secondary_structure_tape_ss3_processed_casp12_noflatten,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-42,test_loss,"[0.9968007802963257, 0.9066581726074219, 0.8689218163490295, 0.8509480357170105, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8142659664154053]"
protxlstm,structure_secondary_structure_tape_ss3_processed_casp12_noflatten,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-42,test_performance_2,"[0.4906284454244763, 0.5742833517089305, 0.5924751929437707, 0.6079106945975744, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6445700110253583]"
protxlstm,structure_secondary_structure_tape_ss3_processed_casp12_noflatten,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-42,test_performance_1,"[0.6382041227528827, 0.7303300165459703, 0.7590855075953332, 0.7716740280329764, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7960214155188993]"
protxlstm,structure_secondary_structure_tape_ss3_processed_cb513_noflatten,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-42,test_loss,"[1.0111323356628419, 0.9256477236747742, 0.9054540991783142, 0.8649659037590027, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7416150808334351]"
protxlstm,structure_secondary_structure_tape_ss3_processed_cb513_noflatten,protxlstm_26M_30B,emb,1.0,200,seed-42,sampling_seed-42,test_performance_2,"[0.4861388196176226, 0.5663410917151566, 0.5802992518703242, 0.60818093654752, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6838736492103076]"
